,blue1,blue2,bluescore,red1,red2,redscore
605,1868K,88909X,15,88895A,9537C,14
606,8838A,935R,10,88909D,311E,18
607,83490A,94927A,15,15234A,3141R,19
608,88909A,95070D,21,31811C,95070C,13
609,5297C,11101A,19,27517A,8153A,20
610,48277G,6293D,7,87895A,21246E,29
611,43426C,43426A,7,5556C,90069A,16
612,21246W,88909Y,20,9537D,9537A,16
613,9537C,99157A,15,2055X,56411V,17
614,43427A,7209E,5,985C,311E,22
615,43427C,8838C,9,21246X,43426B,14
616,10182A,5297B,11,88909X,3324A,22
617,88895A,974D,21,95070B,48277B,12
618,7209B,95070A,7,5297D,45112A,29
619,2882R,70790A,6,42111N,315Y,33
620,824A,43427B,8,11729A,3324V,33
621,9537B,7209F,4,5297A,8838D,28
622,94065J,88909D,24,83009B,27205A,12
623,84710B,1868K,10,8838B,8838E,28
624,31811C,9537D,25,8838A,7209E,10
625,985C,95070C,28,43427C,5297C,10
626,3324A,8153A,30,43426B,48277G,5
627,7209B,95070B,27,94927A,43426A,9
628,21246E,11729A,14,88909A,42111N,17
629,88909X,311E,25,70790A,15234A,4
630,5556C,9537A,14,10182A,83009B,17
631,8838D,8838B,23,43427B,27517A,3
632,6293D,3324V,26,935R,8838C,10
633,83490A,2055X,26,2882R,1868K,5
